CarCode,shiftlimit,revlimit,torquevol,torquepoint,torqueA,torqueB,torqueC,torqueD,torqueE,torqueF,torqueG,torqueH,torqueI,torqueJ,torqueK,torqueL,torqueM,torqueN,torqueO,torqueP,torqueQ,torqueR,torqueS,torqueT,torqueU,torqueV,torqueW,torqueX,rpmA,rpmB,rpmC,rpmD,rpmE,rpmF,rpmG,rpmH,rpmI,rpmJ,rpmK,rpmL,rpmM,rpmN,rpmO,rpmP,rpmQ,rpmR,rpmS,rpmT,rpmU,rpmV,rpmW,rpmX
2158,9000.0,9500.0,100.0,18.0,32.38,34.78,37.65,40.35,42.76,45.34,48.5,50.67,52.9,55.0,56.1,55.16,52.96,50.67,48.33,46.22,43.8,38.12,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,7000.0,7500.0,100.0,14.0,44.62,48.83,53.79,60.52,65.41,70.83,73.8,73.1,72.1,71.5,70.6,66.1,58.9,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,7000.0,7500.0,100.0,14.0,45.1,51.4,56.9,61.7,66.5,70.6,72.8,71.6,70.7,70.2,69.3,67.8,60.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3436,6800.0,7000.0,100.0,13.0,39.57,44.0,52.12,58.08,61.14,62.07,62.4,62.38,62.3,62.3,62.32,59.0,53.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,7500.0,8000.0,100.0,15.0,31.6,35.27,39.72,43.32,47.2,50.83,55.27,58.24,60.05,60.76,61.2,60.6,59.0,51.91,36.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3502,6700.0,7000.0,100.0,13.0,22.99,37.32,60.86,69.37,71.09,71.09,71.09,70.97,70.95,69.65,65.95,61.2,56.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3235,7700.0,8000.0,100.0,15.0,28.75,36.62,46.17,56.17,59.59,59.39,58.77,58.47,58.31,58.23,58.14,57.92,57.26,55.08,49.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,8200.0,8500.0,100.0,16.0,23.89,26.6,28.59,30.22,32.06,34.9,38.14,41.4,48.0,52.22,55.03,55.32,54.99,54.38,52.31,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,6800.0,7000.0,100.0,13.0,44.45,59.38,65.13,67.86,68.97,69.3,69.16,68.49,67.56,66.74,65.45,61.8,49.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,8200.0,8500.0,100.0,17.0,32.31,36.75,39.96,42.24,45.28,48.07,50.36,52.4,54.93,56.96,58.46,59.2,58.12,55.67,52.4,46.38,37.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3340,7000.0,7500.0,100.0,14.0,43.88,47.15,50.48,53.26,55.62,59.54,61.79,62.8,62.77,62.2,61.24,59.28,55.57,51.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3228,7300.0,7500.0,100.0,14.0,40.7,44.33,47.49,51.0,53.86,56.68,60.07,61.56,62.0,62.0,61.3,58.7,54.8,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3237,8200.0,8500.0,100.0,16.0,20.5,26.86,34.24,38.43,41.89,43.27,45.42,49.39,55.59,58.03,57.82,56.53,55.85,54.33,51.5,44.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3419,9200.0,9500.0,100.0,18.0,21.32,24.52,27.69,30.57,33.83,36.76,40.25,44.08,47.86,51.21,54.08,55.0,54.7,52.91,50.32,48.0,45.4,38.96,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
3503,9200.0,9500.0,100.0,18.0,21.32,24.52,27.69,30.57,33.83,36.76,40.25,44.08,47.86,51.21,54.08,55.0,54.7,52.91,50.32,48.0,45.4,38.96,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,7500.0,7800.0,100.0,17.0,36.02,40.4,46.04,50.67,53.91,55.82,56.84,57.09,56.97,56.66,56.53,56.25,55.84,52.53,48.02,42.32,35.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,7700.0,8000.0,100.0,15.0,32.17,38.6,43.7,49.5,56.7,62.6,64.34,65.09,65.85,66.17,66.43,64.55,62.04,58.2,48.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
